  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:00 init [3]  
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:00 [ksoftirqd/0]
    4 ?        S      0:00 [kworker/0:0]
    6 ?        S      0:00 [migration/0]
    7 ?        S<     0:00 [cpuset]
    8 ?        S<     0:00 [khelper]
   12 ?        S<     0:00 [netns]
  317 ?        S      0:00 [sync_supers]
  319 ?        S      0:00 [bdi-default]
  321 ?        S<     0:00 [kblockd]
  410 ?        S<     0:00 [ata_sff]
  421 ?        S      0:00 [khubd]
  428 ?        S<     0:00 [md]
  437 ?        S<     0:00 [cfg80211]
  548 ?        S<     0:00 [rpciod]
  571 ?        S      0:00 [kswapd0]
  636 ?        S      0:00 [fsnotify_mark]
  655 ?        S<     0:00 [nfsiod]
  661 ?        S      0:00 [jfsIO]
  662 ?        S      0:00 [jfsCommit]
  663 ?        S      0:00 [jfsSync]
  672 ?        S<     0:00 [xfs_mru_cache]
  673 ?        S<     0:00 [xfslogd]
  674 ?        S<     0:00 [xfsdatad]
  675 ?        S<     0:00 [xfsconvertd]
  677 ?        S<     0:00 [crypto]
  807 ?        S      0:00 [scsi_eh_0]
  810 ?        S      0:00 [scsi_eh_1]
  813 ?        S      0:00 [kworker/u:3]
  822 ?        S      0:00 [scsi_eh_2]
  825 ?        S      0:00 [scsi_eh_3]
  828 ?        S      0:00 [kworker/u:4]
  904 ?        S<     0:00 [kpsmoused]
  960 ?        S<     0:00 [hd-audio0]
  991 ?        S      0:00 [kjournald]
 1013 ?        S      0:00 [flush-8:0]
 1088 ?        S<s    0:00 /sbin/udevd --daemon
 1906 ?        Ssl    0:02 /usr/sbin/mysqld --defaults-file=/etc/mysql/my.cnf --basedir=/usr --datadir=/var/lib/mysql --pid-file=/var/run/mysqld/mysqld.pid --socket=/var/run/mysqld/mysqld.sock
 1954 ?        S      0:00 supervising syslog-ng
 1955 ?        Ss     0:00 /usr/sbin/syslog-ng
 1970 ?        Ss     0:00 /usr/sbin/sshd
 1984 ?        Ss     0:00 /usr/sbin/apache2 -D DEFAULT_VHOST -D INFO -D SSL -D SSL_DEFAULT_VHOST -D LANGUAGE -D PHP5 -d /usr/lib/apache2 -f /etc/apache2/httpd.conf -k start
 1986 ?        S      0:00 /usr/sbin/apache2 -D DEFAULT_VHOST -D INFO -D SSL -D SSL_DEFAULT_VHOST -D LANGUAGE -D PHP5 -d /usr/lib/apache2 -f /etc/apache2/httpd.conf -k start
 1989 ?        S      0:00 /usr/sbin/apache2 -D DEFAULT_VHOST -D INFO -D SSL -D SSL_DEFAULT_VHOST -D LANGUAGE -D PHP5 -d /usr/lib/apache2 -f /etc/apache2/httpd.conf -k start
 1990 ?        S      0:00 /usr/sbin/apache2 -D DEFAULT_VHOST -D INFO -D SSL -D SSL_DEFAULT_VHOST -D LANGUAGE -D PHP5 -d /usr/lib/apache2 -f /etc/apache2/httpd.conf -k start
 1991 ?        S      0:00 /usr/sbin/apache2 -D DEFAULT_VHOST -D INFO -D SSL -D SSL_DEFAULT_VHOST -D LANGUAGE -D PHP5 -d /usr/lib/apache2 -f /etc/apache2/httpd.conf -k start
 1992 ?        S      0:00 /usr/sbin/apache2 -D DEFAULT_VHOST -D INFO -D SSL -D SSL_DEFAULT_VHOST -D LANGUAGE -D PHP5 -d /usr/lib/apache2 -f /etc/apache2/httpd.conf -k start
 1993 ?        S      0:00 /usr/sbin/apache2 -D DEFAULT_VHOST -D INFO -D SSL -D SSL_DEFAULT_VHOST -D LANGUAGE -D PHP5 -d /usr/lib/apache2 -f /etc/apache2/httpd.conf -k start
 2008 ?        Ss     0:00 /usr/bin/dbus-daemon --system
 2038 ?        Ss     0:00 /usr/sbin/squid -YC -f /etc/squid/squid.conf
 2042 ?        S      1:46 (squid) -YC -f /etc/squid/squid.conf
 2043 ?        S      0:00 (unlinkd)
 2067 ?        Ss     0:00 /usr/sbin/cron
 2082 ?        Ss     0:00 /usr/sbin/vsftpd /etc/vsftpd/vsftpd.conf
 2121 ?        Ss     0:00 /usr/bin/gdm
 2132 ?        S      0:00 /usr/bin/gdm
 2134 tty7     Ss+    2:41 /usr/bin/X :0 -audit 0 -auth /var/gdm/:0.Xauth -nolisten tcp vt7
 2137 tty1     Ss+    0:00 /sbin/agetty 38400 tty1 linux
 2138 tty2     Ss+    0:00 /sbin/agetty 38400 tty2 linux
 2139 tty3     Ss+    0:00 /sbin/agetty 38400 tty3 linux
 2140 tty4     Ss+    0:00 /sbin/agetty 38400 tty4 linux
 2141 tty5     Ss+    0:00 /sbin/agetty 38400 tty5 linux
 2142 tty6     Ss+    0:00 /sbin/agetty 38400 tty6 linux
 2155 ?        Sl     0:00 /usr/sbin/console-kit-daemon --no-daemon
 2222 ?        Sl     0:00 /usr/libexec/polkitd
 2232 ?        Ssl    0:00 gnome-session
 2246 ?        S      0:00 /usr/bin/dbus-launch --exit-with-session /usr/bin/ssh-agent -- gnome-session
 2247 ?        Ss     0:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 8 --session
 2248 ?        Ss     0:00 /usr/bin/ssh-agent -- gnome-session
 2253 ?        S      0:00 /usr/libexec/gconfd-2
 2261 ?        Ssl    0:01 /usr/libexec/gnome-settings-daemon
 2263 ?        SLl    0:00 /usr/bin/gnome-keyring-daemon --start --components=secrets
 2268 ?        S      0:00 /usr/libexec/gvfsd
 2269 ?        Sl     0:04 /usr/bin/metacity
 2278 ?        Sl     0:02 gnome-panel
